angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,median_brightness,sharpness,dynamic_range,snr,motion_magnitude,delta_response,delta_entropy,delta_gradient_energy,delta_sharpness,delta_motion_mag,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
0.8,0.033,0.082,0.0,0.0,0.943,0.11,6.292,0.006,0.621,0.624,3341.851,1.0,15.022,0.088,-0.012,-0.011,-0.0,-102.285,-0.004,18.368,0.232,0.747,0.135,0.795,-0.033,-0.082
0.9,0.022,0.091,0.0,0.0,0.94,0.11,6.313,0.006,0.62,0.624,3608.103,1.0,14.983,0.093,-0.003,0.021,0.0,266.252,0.005,18.113,0.195,0.711,0.12,0.789,-0.022,-0.091
1.0,0.024,0.085,0.0,0.0,0.925,0.112,6.325,0.007,0.623,0.627,3871.589,1.0,14.912,0.088,-0.015,0.012,0.0,263.486,-0.005,17.861,0.166,0.675,0.107,0.785,-0.024,-0.085
1.1,0.014,0.093,0.0,0.0,0.917,0.108,6.317,0.006,0.623,0.627,3523.699,1.0,15.197,0.094,-0.008,-0.008,-0.0,-347.89,0.006,17.912,0.148,0.645,0.097,0.78,-0.014,-0.093
1.2,0.002,0.089,0.0,0.0,0.908,0.109,6.304,0.006,0.602,0.604,3418.102,1.0,14.868,0.089,-0.009,-0.012,-0.0,-105.597,-0.005,17.864,0.132,0.616,0.088,0.777,-0.002,-0.089
1.3,-0.191,0.095,0.0,0.0,0.801,0.112,6.306,0.006,0.602,0.604,3620.311,1.0,14.615,0.213,-0.107,0.001,0.0,202.209,0.125,17.687,0.119,0.589,0.08,0.774,0.191,-0.095
1.4,-0.24,0.108,0.0,0.0,0.777,0.114,6.321,0.007,0.605,0.608,3912.702,1.0,14.53,0.263,-0.025,0.015,0.0,292.391,0.05,17.567,0.11,0.567,0.073,0.771,0.24,-0.108
1.5,-0.295,0.129,0.0,0.0,0.745,0.113,6.316,0.007,0.611,0.616,3824.432,1.0,14.646,0.322,-0.032,-0.005,-0.0,-88.27,0.059,17.551,0.103,0.546,0.067,0.766,0.295,-0.129
1.6,-0.331,0.114,0.0,0.0,0.717,0.114,6.31,0.007,0.612,0.616,3797.623,1.0,14.59,0.35,-0.028,-0.006,0.0,-26.808,0.027,17.487,0.097,0.527,0.062,0.764,0.331,-0.114
1.7,-0.37,0.112,0.0,0.0,0.689,0.113,6.308,0.007,0.615,0.62,3708.806,1.0,14.694,0.387,-0.028,-0.002,-0.0,-88.818,0.037,17.489,0.092,0.513,0.058,0.762,0.37,-0.112
1.8,-0.438,0.115,0.0,0.0,0.659,0.106,6.318,0.006,0.62,0.624,3363.163,1.0,15.348,0.453,-0.03,0.01,-0.001,-345.643,0.066,17.691,0.091,0.507,0.056,0.76,0.438,-0.115
1.9,-0.471,0.1,0.0,0.0,0.626,0.099,6.321,0.005,0.605,0.608,2981.255,1.0,15.706,0.481,-0.033,0.003,-0.001,-381.909,0.029,17.917,0.09,0.501,0.054,0.758,0.471,-0.1
2.0,-0.517,0.091,0.0,0.0,0.6,0.1,6.314,0.005,0.64,0.643,2996.406,1.0,16.1,0.525,-0.026,-0.006,0.0,15.152,0.044,17.66,0.089,0.492,0.05,0.759,0.517,-0.091
-2.0,0.21,-0.601,0.0,0.0,0.614,0.056,4.189,0.002,0.594,0.596,520.815,1.0,20.567,0.636,-0.052,-0.003,0.0,64.743,0.001,21.727,0.308,0.64,0.062,0.764,-0.21,0.601
-1.9,0.181,-0.609,0.0,0.0,0.666,0.051,4.192,0.001,0.716,0.718,456.073,1.0,22.876,0.636,-0.046,-0.004,0.0,31.454,-0.006,21.251,0.336,0.673,0.069,0.775,-0.181,0.609
-1.8,0.182,-0.616,0.0,0.0,0.712,0.049,4.195,0.001,0.752,0.757,424.619,1.0,23.737,0.642,-0.014,0.005,-0.0,-41.503,0.043,18.754,0.356,0.695,0.076,0.783,-0.182,0.616
-1.7,0.137,-0.584,0.0,0.0,0.727,0.052,4.19,0.001,0.638,0.639,466.122,1.0,21.849,0.599,-0.04,0.002,0.0,31.214,0.087,24.891,0.359,0.699,0.079,0.783,-0.137,0.584
-1.6,0.081,-0.506,0.0,0.0,0.767,0.05,4.188,0.001,0.58,0.584,434.908,1.0,21.243,0.512,-0.029,-0.004,-0.0,-57.906,0.047,21.029,0.377,0.718,0.086,0.788,-0.081,0.506
-1.5,0.069,-0.46,0.0,0.0,0.795,0.054,4.192,0.001,0.605,0.608,492.814,1.0,20.974,0.465,-0.023,-0.0,-0.0,-45.325,0.041,22.831,0.381,0.721,0.091,0.785,-0.069,0.46
-1.4,0.06,-0.42,0.0,0.0,0.818,0.056,4.192,0.002,0.663,0.667,538.139,1.0,21.424,0.424,-0.049,0.009,0.0,140.12,0.265,24.7,0.389,0.729,0.096,0.786,-0.06,0.42
-1.3,-0.009,-0.159,0.0,0.0,0.867,0.049,4.183,0.001,0.728,0.729,398.019,1.0,23.471,0.16,-0.006,-0.001,0.0,-2.6,0.008,20.648,0.436,0.773,0.113,0.806,0.009,0.159
-1.2,-0.026,-0.15,0.0,0.0,0.874,0.048,4.184,0.001,0.681,0.682,400.62,1.0,23.001,0.152,-0.018,-0.008,0.0,4.29,0.042,24.67,0.465,0.793,0.124,0.813,0.026,0.15
-1.1,0.002,-0.111,0.0,0.0,0.892,0.047,4.192,0.001,0.61,0.612,396.33,1.0,22.276,0.111,-0.004,-0.007,-0.0,-69.011,-0.006,24.038,0.497,0.816,0.14,0.82,-0.002,0.111
-1.0,-0.021,-0.115,0.0,0.0,0.896,0.051,4.199,0.001,0.586,0.588,465.34,1.0,21.182,0.117,-0.014,0.008,-0.0,-143.095,0.015,21.792,0.511,0.823,0.149,0.818,0.021,0.115
-0.9,-0.016,-0.101,0.0,0.0,0.91,0.06,4.191,0.002,0.628,0.631,608.435,1.0,20.404,0.102,-0.019,0.014,0.0,23.475,0.045,24.759,0.52,0.813,0.155,0.807,0.016,0.101
-0.8,-0.001,-0.058,0.0,0.0,0.929,0.06,4.177,0.002,0.69,0.694,584.96,1.0,21.168,0.058,-0.006,-0.007,0.0,106.152,0.001,23.809,0.561,0.83,0.174,0.816,0.001,0.058
-0.7,0.005,-0.057,0.0,0.0,0.935,0.053,4.184,0.001,0.66,0.663,478.808,1.0,21.832,0.057,-0.023,-0.013,0.0,54.38,0.014,26.913,0.633,0.876,0.211,0.844,-0.005,0.057
-0.6,0.006,-0.043,0.0,0.0,0.958,0.048,4.197,0.001,0.633,0.635,424.428,1.0,22.371,0.043,-0.016,-0.001,0.0,29.049,-0.017,27.368,0.697,0.911,0.258,0.867,-0.006,0.043
-0.5,0.042,-0.044,0.0,0.0,0.974,0.047,4.198,0.001,0.61,0.612,395.379,1.0,22.261,0.061,-0.012,0.03,-0.0,3.148,0.006,25.424,0.754,0.933,0.312,0.886,-0.042,0.044
-0.4,0.016,-0.053,0.0,0.0,0.986,0.05,4.168,0.001,0.652,0.655,392.23,1.0,22.322,0.055,0.006,0.01,-0.0,-107.846,-0.001,30.304,0.822,0.946,0.37,0.905,-0.016,0.053
-0.3,0.012,-0.055,0.0,0.0,0.98,0.058,4.158,0.002,0.698,0.702,500.077,1.0,21.643,0.056,-0.003,-0.03,-0.0,-89.968,0.038,25.128,0.867,0.936,0.424,0.911,-0.012,0.055
-0.2,0.01,-0.015,0.0,0.0,0.983,0.059,4.188,0.002,0.625,0.627,590.045,1.0,20.562,0.018,0.002,-0.057,0.0,51.135,0.004,29.203,0.919,0.949,0.528,0.934,-0.01,0.015
-0.1,0.008,-0.011,0.0,0.0,0.98,0.05,4.245,0.001,0.622,0.624,538.91,1.0,21.905,0.014,0.356,0.059,-0.001,-102.194,-0.624,30.25,0.974,0.986,0.713,0.979,-0.008,0.011
0.0,0.0,0.0,0.0,0.0,1.0,0.043,4.342,0.001,0.65,0.651,534.223,1.0,23.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.1,-0.014,0.02,0.0,0.0,0.984,0.051,4.247,0.001,0.642,0.647,570.578,1.0,21.959,0.025,-0.016,-0.095,0.0,36.355,0.025,36.56,0.972,0.983,0.702,0.976,0.014,-0.02
0.2,-0.002,0.043,0.0,0.0,0.979,0.054,4.187,0.001,0.664,0.667,501.874,1.0,21.826,0.043,-0.005,-0.06,0.0,-68.704,0.018,32.576,0.935,0.965,0.553,0.948,0.002,-0.043
0.3,-0.019,0.046,0.0,0.0,0.981,0.059,4.159,0.002,0.69,0.694,537.556,1.0,21.287,0.05,0.003,-0.028,0.0,35.682,0.007,26.112,0.861,0.931,0.418,0.903,0.019,-0.046
0.4,-0.017,0.043,0.0,0.0,0.971,0.053,4.164,0.001,0.62,0.624,429.411,1.0,21.42,0.046,-0.01,0.005,-0.0,-108.145,-0.004,27.146,0.813,0.938,0.357,0.896,0.017,-0.043
0.5,-0.034,0.031,0.0,0.0,0.97,0.048,4.197,0.001,0.576,0.58,415.564,1.0,21.552,0.046,-0.001,0.032,-0.0,-13.847,-0.0,21.706,0.748,0.931,0.307,0.882,0.034,-0.031
