angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,median_brightness,sharpness,dynamic_range,snr,motion_magnitude,delta_response,delta_entropy,delta_gradient_energy,delta_sharpness,delta_motion_mag,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
0.0,2.997,-7.986,3.0,-8.0,0.976,0.156,7.216,0.008,0.441,0.435,3004.761,1.0,9.017,8.53,-0.001,-0.005,-0.0,-8.461,0.921,14.381,0.072,0.159,0.007,0.654,0.003,-0.014
0.0,3.008,6.982,3.0,7.0,0.97,0.16,7.273,0.008,0.441,0.439,2935.754,1.0,8.806,7.603,-0.006,0.058,0.0,-69.007,-0.928,14.843,0.151,0.342,0.024,0.674,-0.008,0.018
0.0,3.991,-10.997,4.0,-11.0,0.971,0.155,7.204,0.008,0.439,0.435,2999.179,1.0,9.069,11.698,0.001,-0.069,-0.0,63.425,4.096,14.05,0.074,0.067,0.005,0.644,0.009,-0.003
0.0,4.004,-13.982,4.0,-14.0,0.965,0.153,7.191,0.008,0.438,0.431,2955.542,1.0,9.116,14.544,-0.006,-0.013,-0.0,-43.636,2.846,13.857,0.084,0.049,0.005,0.642,-0.004,-0.018
0.0,4.006,-1.997,4.0,-2.0,0.984,0.159,7.246,0.008,0.442,0.435,2988.764,1.0,8.893,4.476,0.019,0.055,0.0,33.222,-10.068,16.06,0.181,0.49,0.038,0.693,-0.006,-0.003
0.0,3.997,-6.993,4.0,-7.0,0.978,0.158,7.223,0.008,0.443,0.435,3046.936,1.0,8.987,8.054,-0.006,-0.022,0.0,58.171,3.578,14.449,0.07,0.173,0.008,0.651,0.003,-0.007
0.0,3.997,12.971,4.0,13.0,0.945,0.165,7.289,0.008,0.453,0.451,3048.093,1.0,8.766,13.573,-0.033,0.066,0.0,1.158,5.519,13.899,0.119,0.186,0.014,0.658,0.003,0.029
0.0,4.012,2.001,4.0,2.0,0.979,0.161,7.26,0.008,0.447,0.443,3024.922,1.0,8.86,4.483,0.034,-0.029,-0.0,-23.172,-9.09,15.759,0.16,0.484,0.033,0.68,-0.012,-0.001
0.0,4.004,2.999,4.0,3.0,0.977,0.161,7.263,0.008,0.445,0.443,3009.667,1.0,8.845,5.002,-0.003,0.003,-0.0,-15.255,0.519,15.566,0.157,0.454,0.029,0.677,-0.004,0.001
0.0,4.001,8.987,4.0,9.0,0.96,0.164,7.281,0.008,0.452,0.447,3067.652,1.0,8.791,9.838,-0.016,0.018,0.0,57.984,4.835,14.332,0.126,0.256,0.018,0.668,-0.001,0.013
0.0,5.001,-4.002,5.0,-4.0,0.978,0.158,7.241,0.008,0.442,0.435,3006.165,1.0,8.917,6.405,0.018,-0.04,-0.0,-61.486,-3.432,15.062,0.1,0.31,0.017,0.661,-0.001,0.002
0.0,5.009,-5.993,5.0,-6.0,0.979,0.157,7.231,0.008,0.441,0.435,2990.487,1.0,8.96,7.811,0.001,-0.01,-0.0,-15.678,1.405,14.604,0.075,0.196,0.009,0.65,-0.009,-0.007
0.0,4.996,-6.99,5.0,-7.0,0.979,0.156,7.225,0.008,0.44,0.435,2996.201,1.0,8.983,8.592,-0.0,-0.006,-0.0,5.713,0.781,14.406,0.07,0.155,0.007,0.648,0.004,-0.01
0.0,5.009,9.985,5.0,10.0,0.957,0.163,7.285,0.008,0.449,0.451,3009.04,1.0,8.784,11.17,-0.022,0.06,0.0,12.839,2.578,14.178,0.121,0.222,0.015,0.666,-0.009,0.015
0.0,5.006,7.982,5.0,8.0,0.965,0.164,7.281,0.008,0.452,0.447,3045.289,1.0,8.794,9.422,0.008,-0.005,0.0,36.249,-1.748,14.418,0.129,0.26,0.018,0.669,-0.006,0.018
0.0,5.995,11.984,6.0,12.0,0.948,0.166,7.292,0.008,0.455,0.455,3057.512,1.0,8.77,13.4,-0.017,0.012,0.0,12.223,3.978,13.822,0.104,0.176,0.013,0.66,0.005,0.016
0.0,6.013,0.993,6.0,1.0,0.978,0.162,7.262,0.008,0.449,0.443,3056.273,1.0,8.867,6.094,0.03,-0.031,-0.0,-1.239,-7.306,15.161,0.115,0.357,0.019,0.665,-0.013,0.007
0.0,7.007,-0.013,7.0,0.0,0.978,0.16,7.259,0.008,0.445,0.443,3001.791,1.0,8.872,7.007,0.0,-0.003,-0.0,-54.482,0.913,14.995,0.112,0.313,0.017,0.665,-0.007,0.013
0.0,7.011,-8.992,7.0,-9.0,0.972,0.158,7.22,0.008,0.447,0.439,3086.124,1.0,9.019,11.402,-0.006,-0.038,0.0,84.333,4.395,13.986,0.069,0.083,0.005,0.64,-0.011,-0.008
